Species,Module,Category,ID,Description,p.adjust,Count
Sinorhizobium,Turquoise,MF,GO:0003700,DNA-binding transcription factor activity,0.001,18
Sinorhizobium,Turquoise,BP,GO:0006355,regulation of DNA-templated transcription,0.000,23
Sinorhizobium,Blue,BP,GO:0009399,nitrogen fixation,0.000,4
Sinorhizobium,Brown,CC,GO:0016020,membrane,0.040,5
Sinorhizobium,Brown,BP,GO:0010124,phenylacetate catabolic process,0.002,2
Sinorhizobium,Yellow,CC,GO:0005737,cytoplasm,0.042,19
Sinorhizobium,Green,MF,GO:0004129,cytochrome-c oxidase activity,0.031,3
Sinorhizobium,Black,MF,GO:0005509,calcium ion binding,0.016,5
Sinorhizobium,Salmon,MF,GO:0016887,ATP hydrolysis activity,0.044,2
Sinorhizobium,Salmon,BP,GO:0006457,protein folding,0.009,2
Sinorhizobium,Cyan,MF,GO:0140359,ABC-type transporter activity,0.023,4
Sinorhizobium,Cyan,BP,GO:0055085,transmembrane transport,0.001,3
Medicago,Black,BP,GO:0006952,defense response,0,48
Medicago,Black,BP,GO:0007165,signal transduction,0,28
Medicago,Black,MF,GO:0043531,ADP binding,0,54
Medicago,Black,MF,GO:0016787,hydrolase activity,0.004,46
Medicago,Black,MF,GO:0003953,NAD+ nucleosidase activity,0,22
Medicago,Black,MF,GO:0003676,nucleic acid binding,0,22
Medicago,Blue,BP,GO:0090305,nucleic acid phosphodiester bond hydrolysis,0,95
Medicago,Blue,BP,GO:0007018,microtubule-based movement,0,52
Medicago,Blue,CC,GO:0005739,mitochondrion,0.037,112
Medicago,Blue,CC,GO:0005874,microtubule,0,54
Medicago,Blue,CC,GO:0005871,kinesin complex,0,24
Medicago,Blue,MF,GO:0005515,protein binding,0.008,481
Medicago,Blue,MF,GO:0005524,ATP binding,0.02,456
Medicago,Blue,MF,GO:0008017,microtubule binding,0,83
Medicago,Blue,MF,GO:0004519,endonuclease activity,0,80
Medicago,Blue,MF,GO:1990939,ATP-dependent microtubule motor activity,0,39
Medicago,Brown,BP,GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,0.041,17
Medicago,Brown,BP,GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,0.003,13
Medicago,Brown,BP,GO:0019252,starch biosynthetic process,0.012,11
Medicago,Brown,MF,GO:0005506,iron ion binding,0.032,45
Medicago,Brown,MF,GO:0042910,xenobiotic transmembrane transporter activity,0.042,13
Medicago,Green,BP,GO:0006468,protein phosphorylation,0.004,99
Medicago,Green,BP,GO:0005975,carbohydrate metabolic process,0.009,41
Medicago,Green,BP,GO:0098869,cellular oxidant detoxification,0.033,25
