"","GeneID","Module"
"1","CDO30_RS19305","blue"
"2","CDO30_RS19310","black"
"3","CDO30_RS00155","turquoise"
"4","CDO30_RS19300","blue"
"5","CDO30_RS19335","black"
"6","CDO30_RS19295","blue"
"7","CDO30_RS19355","blue"
"8","CDO30_RS19340","blue"
"9","CDO30_RS19345","blue"
"10","CDO30_RS17815","yellow"
"11","CDO30_RS09080","yellow"
"12","CDO30_RS19360","blue"
"13","CDO30_RS02580","yellow"
"14","CDO30_RS19350","blue"
"15","CDO30_RS00750","green"
"16","CDO30_RS00495","yellow"
"17","CDO30_RS19140","black"
"18","CDO30_RS12085","grey"
"19","CDO30_RS25195","yellow"
"20","CDO30_RS32570","yellow"
"21","CDO30_RS19285","blue"
"22","CDO30_RS08040","turquoise"
"23","CDO30_RS18095","black"
"24","CDO30_RS06100","turquoise"
"25","CDO30_RS05295","salmon"
"26","CDO30_RS15360","blue"
"27","CDO30_RS00490","yellow"
"28","CDO30_RS00285","black"
"29","CDO30_RS16710","yellow"
"30","CDO30_RS03005","turquoise"
"31","CDO30_RS08770","blue"
"32","CDO30_RS15835","turquoise"
"33","CDO30_RS17755","black"
"34","CDO30_RS14320","blue"
"35","CDO30_RS02505","yellow"
"36","CDO30_RS00165","grey"
"37","CDO30_RS05115","green"
"38","CDO30_RS19365","blue"
"39","CDO30_RS07150","salmon"
"40","CDO30_RS05930","green"
"41","CDO30_RS01530","turquoise"
"42","CDO30_RS17820","grey"
"43","CDO30_RS09065","black"
"44","CDO30_RS19370","blue"
"45","CDO30_RS02025","yellow"
"46","CDO30_RS32195","pink"
"47","CDO30_RS04110","yellow"
"48","CDO30_RS19555","lightgreen"
"49","CDO30_RS10975","black"
"50","CDO30_RS00470","yellow"
"51","CDO30_RS02590","magenta"
"52","CDO30_RS16145","lightcyan"
"53","CDO30_RS14595","black"
"54","CDO30_RS07920","yellow"
"55","CDO30_RS12090","salmon"
"56","CDO30_RS32560","green"
"57","CDO30_RS12840","blue"
"58","CDO30_RS09575","yellow"
"59","CDO30_RS08735","yellow"
"60","CDO30_RS10990","salmon"
"61","CDO30_RS21915","pink"
"62","CDO30_RS03830","pink"
"63","CDO30_RS12075","yellow"
"64","CDO30_RS00275","lightcyan"
"65","CDO30_RS14715","turquoise"
"66","CDO30_RS05560","black"
"67","CDO30_RS11435","pink"
"68","CDO30_RS05110","blue"
"69","CDO30_RS08595","blue"
"70","CDO30_RS19540","lightgreen"
"71","CDO30_RS19610","magenta"
"72","CDO30_RS14985","yellow"
"73","CDO30_RS11870","pink"
"74","CDO30_RS18100","black"
"75","CDO30_RS19565","lightgreen"
"76","CDO30_RS09760","yellow"
"77","CDO30_RS11265","yellow"
"78","CDO30_RS18125","lightgreen"
"79","CDO30_RS03055","blue"
"80","CDO30_RS19270","blue"
"81","CDO30_RS00295","grey"
"82","CDO30_RS08070","turquoise"
"83","CDO30_RS03755","purple"
"84","CDO30_RS19320","black"
"85","CDO30_RS02180","black"
"86","CDO30_RS07135","turquoise"
"87","CDO30_RS16280","yellow"
"88","CDO30_RS16285","yellow"
"89","CDO30_RS02710","pink"
"90","CDO30_RS16290","yellow"
"91","CDO30_RS00460","yellow"
"92","CDO30_RS09060","black"
"93","CDO30_RS16045","blue"
"94","CDO30_RS16275","yellow"
"95","CDO30_RS13540","black"
"96","CDO30_RS08120","black"
"97","CDO30_RS18105","lightgreen"
"98","CDO30_RS09745","yellow"
"99","CDO30_RS19795","blue"
"100","CDO30_RS16380","pink"
"101","CDO30_RS00485","yellow"
"102","CDO30_RS09565","yellow"
"103","CDO30_RS34665","grey"
"104","CDO30_RS02500","green"
"105","CDO30_RS17700","grey"
"106","CDO30_RS16715","yellow"
"107","CDO30_RS28195","black"
"108","CDO30_RS04305","green"
"109","CDO30_RS17270","turquoise"
"110","CDO30_RS28445","grey"
"111","CDO30_RS13680","turquoise"
"112","CDO30_RS00480","yellow"
"113","CDO30_RS18130","lightcyan"
"114","CDO30_RS04065","black"
"115","CDO30_RS34330","black"
"116","CDO30_RS00195","yellow"
"117","CDO30_RS05950","blue"
"118","CDO30_RS19550","turquoise"
"119","CDO30_RS19275","blue"
"120","CDO30_RS02530","yellow"
"121","CDO30_RS11485","pink"
"122","CDO30_RS02535","magenta"
"123","CDO30_RS03855","black"
"124","CDO30_RS32970","grey"
"125","CDO30_RS17125","grey"
"126","CDO30_RS01525","turquoise"
"127","CDO30_RS10370","pink"
"128","CDO30_RS09075","grey"
"129","CDO30_RS01760","pink"
"130","CDO30_RS11755","black"
"131","CDO30_RS04740","turquoise"
"132","CDO30_RS16180","yellow"
"133","CDO30_RS01005","yellow"
"134","CDO30_RS00115","grey"
"135","CDO30_RS07145","black"
"136","CDO30_RS07945","yellow"
"137","CDO30_RS05995","turquoise"
"138","CDO30_RS02735","turquoise"
"139","CDO30_RS12915","blue"
"140","CDO30_RS31900","pink"
"141","CDO30_RS04310","blue"
"142","CDO30_RS08085","grey"
"143","CDO30_RS14310","purple"
"144","CDO30_RS03140","grey"
"145","CDO30_RS06845","yellow"
"146","CDO30_RS34440","lightgreen"
"147","CDO30_RS06095","yellow"
"148","CDO30_RS09675","yellow"
"149","CDO30_RS02485","black"
"150","CDO30_RS13480","purple"
"151","CDO30_RS08565","grey"
"152","CDO30_RS06610","yellow"
"153","CDO30_RS09855","yellow"
"154","CDO30_RS09895","yellow"
"155","CDO30_RS18075","magenta"
"156","CDO30_RS09030","blue"
"157","CDO30_RS01000","yellow"
"158","CDO30_RS01140","yellow"
"159","CDO30_RS26470","pink"
"160","CDO30_RS03700","black"
"161","CDO30_RS18135","lightgreen"
"162","CDO30_RS16705","yellow"
"163","CDO30_RS17565","turquoise"
"164","CDO30_RS06890","black"
"165","CDO30_RS16735","grey"
"166","CDO30_RS28010","grey"
"167","CDO30_RS05305","blue"
"168","CDO30_RS00620","black"
"169","CDO30_RS03290","grey"
"170","CDO30_RS17695","grey"
"171","CDO30_RS20515","yellow"
"172","CDO30_RS32990","pink"
"173","CDO30_RS14820","red"
"174","CDO30_RS06650","black"
"175","CDO30_RS13620","salmon"
"176","CDO30_RS00625","grey"
"177","CDO30_RS00125","blue"
"178","CDO30_RS21920","pink"
"179","CDO30_RS04395","black"
"180","CDO30_RS14870","turquoise"
"181","CDO30_RS29200","yellow"
"182","CDO30_RS09865","grey"
"183","CDO30_RS16725","yellow"
"184","CDO30_RS00095","blue"
"185","CDO30_RS02645","black"
"186","CDO30_RS09070","black"
"187","CDO30_RS00845","yellow"
"188","CDO30_RS25215","lightcyan"
"189","CDO30_RS01540","blue"
"190","CDO30_RS11060","blue"
"191","CDO30_RS09750","yellow"
"192","CDO30_RS06120","grey"
"193","CDO30_RS17260","turquoise"
"194","CDO30_RS15805","black"
"195","CDO30_RS30155","pink"
"196","CDO30_RS17805","yellow"
"197","CDO30_RS08580","yellow"
"198","CDO30_RS14515","pink"
"199","CDO30_RS04895","blue"
"200","CDO30_RS26350","pink"
"201","CDO30_RS06680","black"
"202","CDO30_RS10970","black"
"203","CDO30_RS08050","black"
"204","CDO30_RS24710","blue"
"205","CDO30_RS16905","grey"
"206","CDO30_RS08860","yellow"
"207","CDO30_RS14630","grey"
"208","CDO30_RS19280","blue"
"209","CDO30_RS02620","brown"
"210","CDO30_RS05300","brown"
"211","CDO30_RS03740","yellow"
"212","CDO30_RS19840","lightgreen"
"213","CDO30_RS09665","yellow"
"214","CDO30_RS19805","magenta"
"215","CDO30_RS03970","yellow"
"216","CDO30_RS21340","grey"
"217","CDO30_RS25380","brown"
"218","CDO30_RS14980","black"
"219","CDO30_RS19530","lightgreen"
"220","CDO30_RS12035","tan"
"221","CDO30_RS32765","black"
"222","CDO30_RS00745","pink"
"223","CDO30_RS07095","turquoise"
"224","CDO30_RS16520","yellow"
"225","CDO30_RS06620","black"
"226","CDO30_RS09765","yellow"
"227","CDO30_RS01690","pink"
"228","CDO30_RS25985","pink"
"229","CDO30_RS05990","black"
"230","CDO30_RS18110","lightgreen"
"231","CDO30_RS09845","yellow"
"232","CDO30_RS12920","green"
"233","CDO30_RS00715","turquoise"
"234","CDO30_RS03900","magenta"
"235","CDO30_RS00120","yellow"
"236","CDO30_RS07985","pink"
"237","CDO30_RS13385","pink"
"238","CDO30_RS16720","yellow"
"239","CDO30_RS01360","pink"
"240","CDO30_RS19780","magenta"
"241","CDO30_RS06115","turquoise"
"242","CDO30_RS18120","lightgreen"
"243","CDO30_RS11965","blue"
"244","CDO30_RS09680","yellow"
"245","CDO30_RS00320","grey"
"246","CDO30_RS27190","grey"
"247","CDO30_RS12875","turquoise"
"248","CDO30_RS19800","lightgreen"
"249","CDO30_RS12040","turquoise"
"250","CDO30_RS10715","blue"
"251","CDO30_RS12870","black"
"252","CDO30_RS31640","grey"
"253","CDO30_RS34880","pink"
"254","CDO30_RS11705","grey"
"255","CDO30_RS19205","magenta"
"256","CDO30_RS03155","red"
