"","MEbrown","MEred","MEblue","MEgreen","MEblack","MEturquoise","MEyellow","MEgrey"
"SRR18707692",0.0263633626118051,0.0896772477122939,0.130701447972148,0.0489451526062892,0.107495108850185,-0.0447273533466078,-0.113665268534846,0.0659050191628217
"SRR18707695",-0.0343898195978903,-0.0381138623505367,-0.0439382686823199,-0.00290190951290636,-0.0204776437531413,0.188251706481306,0.0241087779980405,-0.0796209946574291
"SRR18707696",-0.108437223091701,-0.292263169640503,0.0255869686180714,-0.295764497797276,-0.285143701203685,-0.111868548631084,-0.078260090888706,-0.269190010767463
"SRR18707697",0.101959012858739,-0.0423346330319099,0.159431143138182,0.0821500618455897,0.298671690648476,0.016779889337117,0.109665845789778,0.223673439285437
"SRR18707698",-0.0503009886494175,-0.153710193375336,0.0717916076097999,0.00989609040130721,-0.0781546418313356,0.0627865040658819,-0.22518420865921,-0.114136290270087
"SRR18707701",-0.0386740050066562,0.0904931565860374,-0.0685098897004356,0.181778543818167,-0.105641873113475,0.0721438688457975,0.0137270269979657,0.00774970069409005
"SRR18707702",0.0291125641790984,-0.137917230024521,0.177880953042767,-0.0336287607568333,0.0982491244051935,0.0748127858997611,0.180569700931917,0.132827693675041
"SRR18707703",-0.0775357653727611,-0.0400476508370652,0.087086350627013,-0.168530029253885,-0.175081796162707,0.22167594857036,0.336080907196908,-0.333837110892096
"SRR18707704",-0.0285810495368587,0.0183121131418974,-0.128463805462243,-0.163509996921759,0.071788866722333,0.071967629984715,0.273776494133067,0.048127797197821
"SRR18707706",0.0217669758558172,0.0845025972865543,-0.0396156142983637,0.016155855935112,0.0958671439005279,-0.00910874185836718,0.0177977026239192,0.283271751539588
"SRR18707707",-0.137446159147664,0.026668311644971,-0.211938991617799,-0.0640413805856517,0.0119221814844059,0.0510465458819738,-2.43476774743292e-05,-0.187453206408413
"SRR18707708",-0.10192161393514,0.0658782891455946,-0.0512373420895557,-0.00788623210084444,0.206413683209935,-0.0301255715162028,-0.180963604443952,-0.0699353904782571
"SRR18707709",-0.17970595137265,-0.219615240538239,-0.113166583319721,-0.0601810986861474,-0.100158028947269,-0.281920801522562,-0.0771268374210876,-0.15454611001413
"SRR18707711",0.457098668885493,0.328231199950077,-0.0651079869448397,0.063663300107199,-0.115983262936999,-0.414729865022018,-0.158755613463297,-0.276377891754014
"SRR18707713",-0.0952903887479342,-0.10836064721675,-0.042620435351536,-0.0769017788702589,-0.235754513393106,0.0598772345960197,-0.0235112636426295,-0.0794345258299869
"SRR18707714",0.0926753295674071,-0.0125248987656825,0.307501782633661,0.14296244540541,0.0984629167179525,0.0920497915205971,-0.179682305135709,0.101652916797699
"SRR18707716",-0.149350947585256,-0.103669530222795,-0.20132181153415,-0.0151643384452829,-0.0589565451307023,-0.110541018669497,-0.0950022005978095,-0.120589547802344
"SRR18707717",-0.0150886777794239,-0.0772849962671618,0.0858482708490686,-0.018024965341061,0.147815433762781,-0.113192183955116,-0.0250356173417858,0.0768952074093394
"SRR18707721",-0.0724570407017356,-0.0973828303165813,0.118427332815056,0.000284704302944852,-0.26437169305497,-0.0454566892278199,-0.0821450310972888,-0.0673031940583682
"SRR18707722",0.0174442487945239,-0.0636258345469942,0.11443219815957,-0.0772675354014038,-0.0136725508666342,0.173025141267898,-1.72074314106774e-05,-0.0775101752572797
"SRR18707723",0.0626561726450888,0.0848050762672264,0.0314367820991044,-0.0775983850809689,0.15110354855922,0.137073084678408,0.23902771312745,0.247189427844165
"SRR18707726",-0.0436079888874201,-0.0326482477488862,-0.0569053216954916,-0.18851378987824,-0.0729457383727501,0.201284326969679,0.178203653351386,0.0472111451337619
"SRR18707728",-0.0293129886179209,0.0831917265973269,0.105361160608123,0.0660670891725054,-0.146956267963594,0.125253319204666,0.159401677155548,0.0672087745861397
"SRR18707729",0.00330771603528809,-0.0613513995294099,0.203596459251474,0.535343353308506,0.110750028720361,-0.0819658132157087,-0.343037727012652,0.134284388873779
"SRR18707731",-0.195337678001967,-0.17419074192421,-0.252177376190935,-0.18913146981689,-0.123768179502634,-0.209727777827987,-0.180146495738093,-0.204185690168997
"SRR18707733",0.441397083739102,0.328115864525669,0.144995279400634,0.0207114317552975,-0.0497854688156227,0.0463704578375903,-0.0976449279830404,0.0361024951115737
"SRR18707734",-0.0833433293421487,-0.147571724477802,-0.163427216649414,0.00997501319659727,0.188088011256082,-0.0587775190660175,0.0887278809891604,-0.0343882869554465
