"","GeneID","Module"
"1","MtrunA17_Chr5g0427351","blue"
"2","MtrunA17_Chr1g0186761","turquoise"
"3","MtrunA17_Chr1g0199111","greenyellow"
"4","MtrunA17_Chr3g0105311","grey"
"5","MtrunA17_Chr1g0213751","greenyellow"
"6","MtrunA17_Chr3g0100391","green"
"7","MtrunA17_Chr4g0070011","brown"
"8","MtrunA17_Chr1g0148751","blue"
"9","MtrunA17_Chr1g0160031","blue"
"10","MtrunA17_Chr2g0311901","turquoise"
"11","MtrunA17_Chr2g0278631","red"
"12","MtrunA17_Chr5g0430381","blue"
"13","MtrunA17_Chr1g0157851","turquoise"
"14","MtrunA17_Chr3g0100421","green"
"15","MtrunA17_Chr7g0224291","grey"
"16","MtrunA17_Chr2g0281901","tan"
"17","MtrunA17_Chr3g0113211","turquoise"
"18","MtrunA17_Chr5g0435981","green"
"19","MtrunA17_Chr7g0272351","blue"
"20","MtrunA17_Chr6g0479141","lightcyan"
"21","MtrunA17_Chr1g0160171","midnightblue"
"22","MtrunA17_Chr6g0475711","turquoise"
"23","MtrunA17_Chr8g0380431","pink"
"24","MtrunA17_Chr4g0009811","brown"
"25","MtrunA17_Chr7g0264961","pink"
"26","MtrunA17_Chr2g0315891","purple"
"27","MtrunA17_Chr5g0438391","turquoise"
"28","MtrunA17_Chr2g0295871","brown"
"29","MtrunA17_Chr1g0155781","blue"
"30","MtrunA17_Chr3g0081481","turquoise"
"31","MtrunA17_Chr4g0060251","blue"
"32","MtrunA17_Chr5g0411601","turquoise"
"33","MtrunA17_Chr2g0311911","blue"
"34","MtrunA17_Chr1g0170011","pink"
"35","MtrunA17_Chr1g0161751","greenyellow"
"36","MtrunA17_Chr1g0205581","blue"
"37","MtrunA17_Chr5g0405751","blue"
"38","MtrunA17_Chr1g0209151","turquoise"
"39","MtrunA17_Chr1g0153011","blue"
"40","MtrunA17_Chr5g0435991","green"
"41","MtrunA17_Chr7g0253781","brown"
"42","MtrunA17_Chr2g0326621","brown"
"43","MtrunA17_Chr3g0120411","greenyellow"
"44","MtrunA17_Chr2g0282561","blue"
"45","MtrunA17_Chr4g0042811","greenyellow"
"46","MtrunA17_Chr4g0035001","brown"
"47","MtrunA17_Chr2g0287871","blue"
"48","MtrunA17_Chr6g0458111","pink"
"49","MtrunA17_Chr8g0389591","blue"
"50","MtrunA17_Chr7g0233771","grey"
"51","MtrunA17_Chr8g0340651","blue"
"52","MtrunA17_Chr7g0270531","brown"
"53","MtrunA17_Chr4g0033101","green"
"54","MtrunA17_Chr7g0262821","brown"
"55","MtrunA17_Chr7g0219981","grey"
"56","MtrunA17_Chr7g0271041","blue"
"57","MtrunA17_Chr1g0197531","turquoise"
"58","MtrunA17_Chr7g0275361","blue"
"59","MtrunA17_Chr5g0421791","brown"
"60","MtrunA17_Chr5g0437861","tan"
"61","MtrunA17_Chr2g0286431","blue"
"62","MtrunA17_Chr3g0141671","blue"
"63","MtrunA17_Chr8g0334811","turquoise"
"64","MtrunA17_Chr3g0102491","grey"
"65","MtrunA17_Chr6g0463451","greenyellow"
"66","MtrunA17_Chr4g0009821","brown"
"67","MtrunA17_Chr4g0035031","turquoise"
"68","MtrunA17_Chr4g0072851","blue"
"69","MtrunA17_Chr2g0288851","blue"
"70","MtrunA17_Chr5g0426551","blue"
"71","MtrunA17_Chr5g0437251","magenta"
"72","MtrunA17_Chr1g0151801","blue"
"73","MtrunA17_Chr4g0041071","pink"
"74","MtrunA17_Chr4g0041701","turquoise"
"75","MtrunA17_Chr8g0342711","turquoise"
"76","MtrunA17_Chr5g0435621","blue"
"77","MtrunA17_Chr4g0057861","blue"
"78","MtrunA17_Chr2g0317901","blue"
"79","MtrunA17_Chr5g0417631","blue"
"80","MtrunA17_Chr1g0149721","grey"
"81","MtrunA17_Chr8g0354121","turquoise"
"82","MtrunA17_Chr2g0289861","blue"
"83","MtrunA17_Chr6g0470771","green"
"84","MtrunA17_Chr4g0072131","turquoise"
"85","MtrunA17_Chr4g0046831","blue"
"86","MtrunA17_Chr4g0039821","turquoise"
"87","MtrunA17_Chr2g0305941","blue"
"88","MtrunA17_Chr4g0030171","turquoise"
"89","MtrunA17_Chr3g0095001","yellow"
"90","MtrunA17_Chr4g0001611","tan"
"91","MtrunA17_Chr7g0223291","purple"
"92","MtrunA17_Chr5g0436701","brown"
"93","MtrunA17_Chr8g0366581","blue"
"94","MtrunA17_Chr6g0475251","turquoise"
"95","MtrunA17_Chr8g0379901","blue"
"96","MtrunA17_Chr6g0477551","brown"
"97","MtrunA17_Chr6g0451341","turquoise"
"98","MtrunA17_Chr2g0294751","blue"
"99","MtrunA17_Chr7g0265741","blue"
"100","MtrunA17_Chr6g0450081","blue"
"101","MtrunA17_Chr1g0200341","blue"
"102","MtrunA17_Chr8g0380271","turquoise"
"103","MtrunA17_Chr4g0041481","blue"
"104","MtrunA17_Chr2g0288251","blue"
"105","MtrunA17_Chr7g0271351","blue"
"106","MtrunA17_Chr7g0221391","turquoise"
"107","MtrunA17_Chr4g0064311","blue"
"108","MtrunA17_Chr6g0475471","turquoise"
"109","MtrunA17_Chr1g0167771","grey"
"110","MtrunA17_Chr2g0286061","turquoise"
"111","MtrunA17_Chr3g0113231","blue"
"112","MtrunA17_Chr3g0137951","blue"
"113","MtrunA17_Chr5g0423101","green"
"114","MtrunA17_Chr1g0157841","turquoise"
"115","MtrunA17_Chr2g0302931","brown"
"116","MtrunA17_Chr6g0485191","blue"
"117","MtrunA17_Chr4g0044541","brown"
"118","MtrunA17_Chr5g0427811","blue"
"119","MtrunA17_Chr4g0054151","brown"
"120","MtrunA17_Chr5g0442841","blue"
"121","MtrunA17_Chr4g0045221","blue"
"122","MtrunA17_Chr8g0348471","brown"
"123","MtrunA17_Chr1g0205391","pink"
"124","MtrunA17_Chr2g0278591","brown"
"125","MtrunA17_Chr2g0333821","tan"
"126","MtrunA17_Chr5g0407791","brown"
"127","MtrunA17_Chr2g0286851","turquoise"
"128","MtrunA17_Chr5g0437531","blue"
"129","MtrunA17_Chr8g0342951","yellow"
"130","MtrunA17_Chr4g0073741","purple"
"131","MtrunA17_Chr6g0458091","brown"
"132","MtrunA17_Chr7g0224301","blue"
"133","MtrunA17_Chr1g0193331","turquoise"
"134","MtrunA17_Chr4g0058461","turquoise"
"135","MtrunA17_Chr5g0437311","turquoise"
"136","MtrunA17_Chr1g0170851","green"
"137","MtrunA17_Chr3g0135321","blue"
"138","MtrunA17_Chr5g0435611","blue"
"139","MtrunA17_Chr2g0333191","turquoise"
"140","MtrunA17_Chr2g0317781","turquoise"
"141","MtrunA17_Chr2g0309341","blue"
"142","MtrunA17_Chr8g0393021","purple"
"143","MtrunA17_Chr8g0378071","brown"
"144","MtrunA17_Chr1g0146151","brown"
"145","MtrunA17_Chr4g0021521","black"
"146","MtrunA17_Chr5g0423371","green"
"147","MtrunA17_Chr4g0074851","turquoise"
"148","MtrunA17_Chr5g0427791","turquoise"
"149","MtrunA17_Chr3g0118181","brown"
"150","MtrunA17_Chr1g0189151","blue"
"151","MtrunA17_Chr7g0233281","turquoise"
"152","MtrunA17_Chr5g0411151","tan"
"153","MtrunA17_Chr2g0329451","blue"
"154","MtrunA17_Chr1g0208751","yellow"
"155","MtrunA17_Chr8g0391971","blue"
"156","MtrunA17_Chr3g0100541","blue"
"157","MtrunA17_Chr7g0220531","grey"
"158","MtrunA17_Chr1g0179211","blue"
"159","MtrunA17_Chr2g0317411","turquoise"
"160","MtrunA17_Chr4g0055281","blue"
"161","MtrunA17_Chr4g0046801","turquoise"
"162","MtrunA17_Chr3g0135351","blue"
"163","MtrunA17_Chr4g0025401","brown"
"164","MtrunA17_Chr4g0029481","brown"
"165","MtrunA17_Chr3g0110261","blue"
"166","MtrunA17_Chr8g0393121","brown"
"167","MtrunA17_Chr4g0059701","turquoise"
