"","GeneID","Module"
"1","CDO30_RS19305","green"
"2","CDO30_RS19310","green"
"3","CDO30_RS00155","green"
"4","CDO30_RS19300","green"
"5","CDO30_RS19335","green"
"6","CDO30_RS19295","green"
"7","CDO30_RS19355","green"
"8","CDO30_RS19340","green"
"9","CDO30_RS19345","green"
"10","CDO30_RS17815","turquoise"
"11","CDO30_RS09080","turquoise"
"12","CDO30_RS19360","green"
"13","CDO30_RS02580","turquoise"
"14","CDO30_RS19350","green"
"15","CDO30_RS00750","blue"
"16","CDO30_RS00495","blue"
"17","CDO30_RS19140","brown"
"18","CDO30_RS12085","grey"
"19","CDO30_RS25195","turquoise"
"20","CDO30_RS32570","turquoise"
"21","CDO30_RS19285","green"
"22","CDO30_RS08040","grey"
"23","CDO30_RS18095","brown"
"24","CDO30_RS06100","grey"
"25","CDO30_RS05295","grey"
"26","CDO30_RS15360","turquoise"
"27","CDO30_RS00490","blue"
"28","CDO30_RS00285","brown"
"29","CDO30_RS16710","turquoise"
"30","CDO30_RS03005","turquoise"
"31","CDO30_RS08770","green"
"32","CDO30_RS15835","turquoise"
"33","CDO30_RS17755","turquoise"
"34","CDO30_RS14320","grey"
"35","CDO30_RS02505","turquoise"
"36","CDO30_RS00165","green"
"37","CDO30_RS05115","turquoise"
"38","CDO30_RS19365","green"
"39","CDO30_RS07150","turquoise"
"40","CDO30_RS05930","green"
"41","CDO30_RS01530","turquoise"
"42","CDO30_RS17820","grey"
"43","CDO30_RS09065","red"
"44","CDO30_RS19370","green"
"45","CDO30_RS02025","turquoise"
"46","CDO30_RS32195","blue"
"47","CDO30_RS04110","turquoise"
"48","CDO30_RS19555","yellow"
"49","CDO30_RS10975","brown"
"50","CDO30_RS00470","turquoise"
"51","CDO30_RS02590","black"
"52","CDO30_RS16145","brown"
"53","CDO30_RS14595","red"
"54","CDO30_RS07920","turquoise"
"55","CDO30_RS12090","green"
"56","CDO30_RS32560","turquoise"
"57","CDO30_RS12840","black"
"58","CDO30_RS09575","turquoise"
"59","CDO30_RS08735","turquoise"
"60","CDO30_RS10990","green"
"61","CDO30_RS21915","blue"
"62","CDO30_RS03830","blue"
"63","CDO30_RS12075","turquoise"
"64","CDO30_RS00275","green"
"65","CDO30_RS14715","turquoise"
"66","CDO30_RS05560","red"
"67","CDO30_RS11435","blue"
"68","CDO30_RS05110","grey"
"69","CDO30_RS08595","blue"
"70","CDO30_RS19540","yellow"
"71","CDO30_RS19610","grey"
"72","CDO30_RS14985","turquoise"
"73","CDO30_RS11870","blue"
"74","CDO30_RS18100","brown"
"75","CDO30_RS19565","yellow"
"76","CDO30_RS09760","turquoise"
"77","CDO30_RS11265","turquoise"
"78","CDO30_RS18125","yellow"
"79","CDO30_RS03055","turquoise"
"80","CDO30_RS19270","green"
"81","CDO30_RS00295","red"
"82","CDO30_RS08070","grey"
"83","CDO30_RS03755","turquoise"
"84","CDO30_RS19320","blue"
"85","CDO30_RS02180","red"
"86","CDO30_RS07135","grey"
"87","CDO30_RS16280","turquoise"
"88","CDO30_RS16285","turquoise"
"89","CDO30_RS02710","grey"
"90","CDO30_RS16290","turquoise"
"91","CDO30_RS00460","turquoise"
"92","CDO30_RS09060","red"
"93","CDO30_RS16045","green"
"94","CDO30_RS16275","turquoise"
"95","CDO30_RS13540","brown"
"96","CDO30_RS08120","brown"
"97","CDO30_RS18105","yellow"
"98","CDO30_RS09745","turquoise"
"99","CDO30_RS19795","yellow"
"100","CDO30_RS16380","blue"
"101","CDO30_RS00485","turquoise"
"102","CDO30_RS09565","turquoise"
"103","CDO30_RS34665","green"
"104","CDO30_RS02500","grey"
"105","CDO30_RS17700","green"
"106","CDO30_RS16715","turquoise"
"107","CDO30_RS28195","brown"
"108","CDO30_RS04305","turquoise"
"109","CDO30_RS17270","blue"
"110","CDO30_RS28445","grey"
"111","CDO30_RS13680","red"
"112","CDO30_RS00480","turquoise"
"113","CDO30_RS18130","yellow"
"114","CDO30_RS04065","brown"
"115","CDO30_RS34330","brown"
"116","CDO30_RS00195","turquoise"
"117","CDO30_RS05950","blue"
"118","CDO30_RS19550","yellow"
"119","CDO30_RS19275","green"
"120","CDO30_RS02530","turquoise"
"121","CDO30_RS11485","blue"
"122","CDO30_RS02535","blue"
"123","CDO30_RS03855","brown"
"124","CDO30_RS32970","grey"
"125","CDO30_RS17125","grey"
"126","CDO30_RS01525","blue"
"127","CDO30_RS10370","blue"
"128","CDO30_RS09075","green"
"129","CDO30_RS01760","blue"
"130","CDO30_RS11755","brown"
"131","CDO30_RS04740","blue"
"132","CDO30_RS16180","turquoise"
"133","CDO30_RS01005","turquoise"
